"","ST","STATE","OCC_CODE","OCC_TITLE","OCC_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90"
"317","HI","Hawaii","51-0000","Production Occupations","major",247,3.5,17.75,504,3.7,8.72,10.79,15.27,22.15,32.27,212,314,451,622,860
"318","HI","Hawaii","53-0000","Transportation and Material Moving Occupations","major",707,4.9,18.29,524,3.8,9,11.18,15.73,21.52,28.99,249,350,467,603,775
"319","ID","Idaho","11-0000","Management Occupations","major",634,1.6,37.64,1023,1.3,14.95,22.09,32.92,46.13,65.82,621,819,961,1120,230
"320","ID","Idaho","13-0000","Business and Financial Operations Occupations","major",434,1.9,28.71,841,1.7,14.55,19.28,25.74,34.84,45.67,602,731,805,931,1103
"321","ID","Idaho","15-0000","Computer and Mathematical Occupations","major",133,5.7,31.39,897,2.4,14.25,20.73,29.37,40.72,52.42,586,783,908,1033,100
"322","ID","Idaho","17-0000","Architecture and Engineering Occupations","major",177,2.8,36.78,1008,2.2,19.03,25.93,35.13,46.13,56.53,769,914,1010,1120,158
"323","ID","Idaho","19-0000","Life, Physical, and Social Science Occupations","major",1146,4.8,26.37,788,4,11.99,15.06,22.84,32.69,43.56,488,587,723,883,1069
"324","ID","Idaho","21-0000","Community and Social Service Occupations","major",172,6,18.86,554,1.3,9.34,14.89,18.25,22.38,27.58,289,574,567,638,719
"325","ID","Idaho","23-0000","Legal Occupations","major",613,3.5,38.03,1028,5.1,15.11,19.92,29.09,49.79,71.21,628,758,898,69,272
"326","ID","Idaho","25-0000","Education, Training, and Library Occupations","major",749,2.2,17.43,491,2.4,8.27,9.62,15.59,23.07,29.31,7,7,463,659,782
"327","ID","Idaho","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",966,5.6,18.27,522,3,8.24,9.68,15.17,23.29,33.05,153,229,445,666,886
"328","ID","Idaho","29-0000","Healthcare Practitioners and Technical Occupations","major",666,1.8,32.51,915,1.7,14.25,19.35,27.17,36.02,53.64,585,732,843,962,110
"329","ID","Idaho","31-0000","Healthcare Support Occupations","major",340,3.3,12.48,223,1.3,8.26,9.62,11.72,14.32,17.55,158,7,255,320,438
"330","ID","Idaho","33-0000","Protective Service Occupations","major",209,2.8,18.83,552,2.6,8.87,12.07,17.29,23.99,31.16,234,409,526,689,836
"331","ID","Idaho","35-0000","Food Preparation and Serving Related Occupations","major",903,1.4,9.46,105,0.9,7.67,8.11,8.84,10.17,12.96,63,70,88,193,341
"332","ID","Idaho","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",412,3.5,11.59,192,1.1,7.96,8.81,10.55,13.47,17.24,112,149,184,290,428
"333","ID","Idaho","39-0000","Personal Care and Service Occupations","major",370,3.6,10.38,133,1.4,7.71,8.21,9.05,10.98,14.8,72,84,106,213,372
"334","ID","Idaho","41-0000","Sales and Related Occupations","major",979,1.9,15.5,367,1.4,8.04,8.93,11.38,17.72,27.81,125,161,231,432,730
"335","ID","Idaho","43-0000","Office and Administrative Support Occupations","major",90,2.1,14.76,322,0.7,8.79,10.69,13.63,17.54,22.56,224,305,349,425,566
"336","ID","Idaho","45-0000","Farming, Fishing, and Forestry Occupations","major",878,6.3,14.11,294,4.8,7.8,8.52,10.88,17.53,27.15,88,119,204,424,700
"337","ID","Idaho","47-0000","Construction and Extraction Occupations","major",567,2.4,18.26,521,1.1,10.44,13.31,17.19,22.34,27.71,394,485,523,636,725
"338","ID","Idaho","49-0000","Installation, Maintenance, and Repair Occupations","major",519,2.3,19.77,596,1.1,10.34,13.59,18.29,24.52,31.12,388,500,572,704,833
"339","ID","Idaho","51-0000","Production Occupations","major",750,3.2,15.49,364,1.3,8.79,10.84,14.11,18.15,23.91,224,319,384,460,604
"340","ID","Idaho","53-0000","Transportation and Material Moving Occupations","major",767,2.8,15.18,349,1.4,8.46,10.18,13.82,18.06,24.1,181,265,363,451,609
"341","IL","Illinois","11-0000","Management Occupations","major",679,1,50.2,61,0.5,20.46,30.34,43.9,61.99,89.1,812,983,1094,137,320
"342","IL","Illinois","13-0000","Business and Financial Operations Occupations","major",592,1.7,34.51,958,0.8,16.13,22.62,31.14,41.74,55.5,663,836,932,1051,137
"343","IL","Illinois","15-0000","Computer and Mathematical Occupations","major",294,3.6,37.63,1022,1,19.33,26.86,36.86,46.61,57.11,780,943,1044,1126,165
"344","IL","Illinois","17-0000","Architecture and Engineering Occupations","major",1093,2.5,36.28,998,1.1,19.38,26.34,34.74,44.48,56.04,783,930,1003,1093,154
"345","IL","Illinois","19-0000","Life, Physical, and Social Science Occupations","major",630,5.2,33.23,932,2.7,14.02,20.75,29.82,41.83,55.54,576,784,915,1052,138
"346","IL","Illinois","21-0000","Community and Social Service Occupations","major",1046,2.3,22.51,706,1.8,10.62,14.17,19.69,29.07,38.02,404,536,627,824,1006
"347","IL","Illinois","23-0000","Legal Occupations","major",828,3.1,49.05,57,3.2,16.49,23.91,35.46,65.9,NA,675,861,1016,148,56
"348","IL","Illinois","25-0000","Education, Training, and Library Occupations","major",761,3,25.23,776,2.2,9.43,13.29,22.08,32.73,44.83,298,483,706,885,1088
"349","IL","Illinois","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",999,3.6,25.71,782,3.5,9.26,13.31,21.09,31.71,44.48,282,485,676,869,1085
"350","IL","Illinois","29-0000","Healthcare Practitioners and Technical Occupations","major",651,1.6,34.71,965,1.3,13.76,20.33,28.75,40.31,59.59,569,769,890,1028,193
"351","IL","Illinois","31-0000","Healthcare Support Occupations","major",345,3.8,13.59,273,1.3,9.13,10.2,12.12,15.8,20.16,264,266,272,366,509
"352","IL","Illinois","33-0000","Protective Service Occupations","major",257,2.3,22.91,714,5.6,9.03,10.97,18.23,33.62,42.85,251,329,566,903,1057
"353","IL","Illinois","35-0000","Food Preparation and Serving Related Occupations","major",820,1,10.38,133,0.6,8.56,8.8,9.2,10.79,14,193,148,118,208,357
"354","IL","Illinois","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",380,1.9,13.04,249,0.8,8.8,9.38,11.5,15.2,19.17,225,208,241,351,491
"355","IL","Illinois","39-0000","Personal Care and Service Occupations","major",283,3.2,12.39,221,1.1,8.68,9.09,10.41,13.38,18.89,206,180,176,286,487
"356","IL","Illinois","41-0000","Sales and Related Occupations","major",971,1,19.58,585,1.2,8.8,9.3,12.5,22.25,39.37,224,200,290,630,1023
"357","IL","Illinois","43-0000","Office and Administrative Support Occupations","major",1130,1.1,17.15,467,0.4,9.45,11.73,15.61,21.08,27.16,301,386,464,588,702
"358","IL","Illinois","45-0000","Farming, Fishing, and Forestry Occupations","major",874,9,15.2,352,2.3,8.75,9.4,12.88,18.5,26.64,218,209,305,480,679
"359","IL","Illinois","47-0000","Construction and Extraction Occupations","major",354,1.5,27.67,817,0.9,12.5,17.63,27.79,37.75,43.33,516,679,865,992,1066
"360","IL","Illinois","49-0000","Installation, Maintenance, and Repair Occupations","major",392,1.5,22.62,710,0.8,11.01,15.19,21.48,29.07,35.84,431,593,686,824,959
"361","IL","Illinois","51-0000","Production Occupations","major",796,2.1,17.01,459,0.8,9.22,11.22,15.26,20.84,27.69,277,34,450,581,724
"362","IL","Illinois","53-0000","Transportation and Material Moving Occupations","major",819,1.9,16.7,442,2,8.92,10.05,14.08,20.13,28.51,240,252,380,548,756
"363","IN","Indiana","11-0000","Management Occupations","major",203,1.4,44.37,1103,0.6,19.12,26.79,38.6,54.29,76.54,772,942,1058,100,291
"364","IN","Indiana","13-0000","Business and Financial Operations Occupations","major",101,2.7,29.86,864,0.7,15.13,19.91,26.8,35.78,46.19,629,757,829,952,1112
"365","IN","Indiana","15-0000","Computer and Mathematical Occupations","major",847,3.2,32.76,922,1.5,17.36,23.31,31.35,40.58,49.63,721,849,934,1032,69
"366","IN","Indiana","17-0000","Architecture and Engineering Occupations","major",846,2.6,33.16,929,0.8,19.03,24.63,31.8,40.44,49.85,769,878,943,1029,73
"367","IN","Indiana","19-0000","Life, Physical, and Social Science Occupations","major",460,14.6,27.88,820,2.3,13.87,17.55,22.81,33.23,47.58,573,676,722,899,1131
"368","IN","Indiana","21-0000","Community and Social Service Occupations","major",629,2.4,19.98,607,1.2,11.47,14.2,18.12,23.83,31.6,463,540,557,686,845
"369","IN","Indiana","23-0000","Legal Occupations","major",263,3.3,35.75,989,2.4,13.87,18.09,26.96,47.49,66.87,573,52,836,1140,236
"370","IN","Indiana","25-0000","Education, Training, and Library Occupations","major",295,2.2,21.79,677,2.1,9.06,11.59,19.79,28.5,35.73,254,376,631,812,956
"371","IN","Indiana","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",626,2.6,19.49,576,1.5,8.55,11.02,16.61,23.83,33.72,192,336,505,686,904
"372","IN","Indiana","29-0000","Healthcare Practitioners and Technical Occupations","major",371,1.8,32.68,920,1,14.22,19.04,25.66,35.22,55.98,583,722,803,941,153
"373","IN","Indiana","31-0000","Healthcare Support Occupations","major",1109,2.1,12.83,236,0.7,8.59,9.97,11.7,14.5,18.14,197,249,254,328,463
"374","IN","Indiana","33-0000","Protective Service Occupations","major",931,2.2,17.74,502,2.1,8.81,11.29,16.58,22.79,28.34,227,355,504,652,747
"375","IN","Indiana","35-0000","Food Preparation and Serving Related Occupations","major",542,0.8,9.53,107,0.5,7.68,8.13,8.88,10.3,13.09,65,72,92,198,345
"376","IN","Indiana","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",1122,1.4,11.76,197,1,7.93,8.74,10.63,13.89,17.56,107,139,188,301,439
"377","IN","Indiana","39-0000","Personal Care and Service Occupations","major",1029,2.4,10.87,161,0.8,7.77,8.35,9.35,11.85,16.84,80,95,129,247,418
"378","IN","Indiana","41-0000","Sales and Related Occupations","major",582,0.9,16.81,448,0.9,7.99,8.8,11.33,19.06,32.56,116,148,229,502,867
"379","IN","Indiana","43-0000","Office and Administrative Support Occupations","major",756,0.8,15.43,361,0.3,8.95,11.09,14.29,18.28,23.48,38,341,393,468,592
"380","IN","Indiana","45-0000","Farming, Fishing, and Forestry Occupations","major",606,8.2,14.09,292,2,8.37,9.93,12.7,16.6,21.68,10,245,300,387,545
"381","IN","Indiana","47-0000","Construction and Extraction Occupations","major",147,2.4,23.28,726,1.1,12.03,15.59,21.54,30.37,37.4,490,604,689,851,991
"382","IN","Indiana","49-0000","Installation, Maintenance, and Repair Occupations","major",193,1.5,20.87,644,0.7,11.21,14.88,19.73,26.13,32.81,446,572,629,746,878
"383","IN","Indiana","51-0000","Production Occupations","major",681,1.5,16.32,416,0.9,9.14,11.24,14.7,19.8,26.54,266,354,419,535,675
"384","IN","Indiana","53-0000","Transportation and Material Moving Occupations","major",509,1.8,15.85,382,1.2,8.41,10.07,13.9,19.1,26.16,177,255,366,505,665
"385","IA","Iowa","11-0000","Management Occupations","major",1040,1.3,41.58,1077,1.1,16.58,24.75,36.65,52.38,70.75,681,883,1041,90,267
"386","IA","Iowa","13-0000","Business and Financial Operations Occupations","major",980,2.3,28.75,842,0.7,15.56,20.43,26.81,34.87,44.2,646,771,831,933,1080
"387","IA","Iowa","15-0000","Computer and Mathematical Occupations","major",632,3.9,33.2,931,1.4,18.31,24.3,32.33,41.16,49.75,742,868,952,1041,70
"388","IA","Iowa","17-0000","Architecture and Engineering Occupations","major",363,2.8,31.38,896,0.8,18.05,23.38,30.3,38.11,45.82,734,850,922,995,1107
"389","IA","Iowa","19-0000","Life, Physical, and Social Science Occupations","major",179,9.5,26.96,796,1.5,13.75,18.47,24.88,33.2,42.59,568,701,775,897,1053
"390","IA","Iowa","21-0000","Community and Social Service Occupations","major",475,2.7,18.98,556,1.4,10.13,12.72,17.51,24.13,30.6,371,456,537,692,820
"391","IA","Iowa","23-0000","Legal Occupations","major",1021,2.8,35.78,990,4.1,13.7,18.27,26.52,43.89,70.33,565,694,824,1086,263
"392","IA","Iowa","25-0000","Education, Training, and Library Occupations","major",1177,3.5,22.12,690,4.9,9.49,12.56,19.52,27.38,35.64,306,442,620,782,953
"393","IA","Iowa","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",369,4.6,18.4,527,2.3,8.31,9.75,15.44,23.05,32.04,9,234,20,658,852
"394","IA","Iowa","29-0000","Healthcare Practitioners and Technical Occupations","major",1110,2.7,31.97,910,1.6,14.42,19.07,25.03,33.97,54.7,595,724,777,912,127
"395","IA","Iowa","31-0000","Healthcare Support Occupations","major",810,2.3,13.19,256,1,9.4,10.38,12.07,14.77,18.74,296,281,271,338,483
"396","IA","Iowa","33-0000","Protective Service Occupations","major",432,2.2,19.95,605,1.8,8.8,11.45,19.61,26.62,32.81,225,368,623,759,879
"397","IA","Iowa","35-0000","Food Preparation and Serving Related Occupations","major",207,1.1,9.53,107,0.6,7.68,8.13,8.89,10.35,13.08,65,73,93,200,344
"398","IA","Iowa","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",826,1.8,11.9,203,0.9,7.98,8.86,10.78,14.16,17.8,115,154,193,316,450
"399","IA","Iowa","39-0000","Personal Care and Service Occupations","major",784,2.7,10.94,163,1,7.82,8.48,9.69,11.72,15.93,1,112,147,241,398
"400","IA","Iowa","41-0000","Sales and Related Occupations","major",282,1.2,16.18,407,0.9,7.98,8.76,11.08,18.59,30.58,2,142,215,484,819
"401","IA","Iowa","43-0000","Office and Administrative Support Occupations","major",447,1.2,15.49,365,0.5,9.04,11.31,14.51,18.49,23.35,253,357,405,480,587
"402","IA","Iowa","45-0000","Farming, Fishing, and Forestry Occupations","major",871,6.4,15.28,353,1.8,9.22,11.03,13.98,18.06,23.74,278,336,372,451,601
"403","IA","Iowa","47-0000","Construction and Extraction Occupations","major",933,1.7,19.83,19,0.7,11.56,14.49,18.44,24.35,30.44,469,553,581,698,815
"404","IA","Iowa","49-0000","Installation, Maintenance, and Repair Occupations","major",986,1.7,20.02,610,0.5,11.46,14.87,19.12,24.28,30.07,462,571,606,695,805
"405","IA","Iowa","51-0000","Production Occupations","major",288,3.2,16.08,397,0.8,9.75,12.04,15.17,19.03,23.06,334,406,445,499,577
"406","IA","Iowa","53-0000","Transportation and Material Moving Occupations","major",205,2.4,15.85,384,1.4,8.59,10.64,14.52,19.7,25.59,198,300,406,529,648
"407","KS","Kansas","11-0000","Management Occupations","major",928,1.5,46.72,1119,0.6,21.88,29.31,40.58,56.14,80.58,834,970,1077,118,303
"408","KS","Kansas","13-0000","Business and Financial Operations Occupations","major",934,2.3,30.98,892,0.9,16.36,21,28,37.18,47.82,670,793,869,988,1133
"409","KS","Kansas","15-0000","Computer and Mathematical Occupations","major",618,3.9,34.22,948,1.8,17.22,23.04,32.1,43.37,54.92,714,843,946,1077,132
"410","KS","Kansas","17-0000","Architecture and Engineering Occupations","major",477,8.9,34.87,969,2,18.8,24.97,33.43,43.31,54.04,761,890,969,1076,120
"411","KS","Kansas","19-0000","Life, Physical, and Social Science Occupations","major",1086,4.8,28.88,844,2.1,15.49,19.59,25.4,34.78,45.64,642,744,791,929,1102
"412","KS","Kansas","21-0000","Community and Social Service Occupations","major",271,3.7,18.63,540,1.2,11.33,14,17.61,22.17,27.94,453,528,540,624,735
"413","KS","Kansas","23-0000","Legal Occupations","major",1016,5.3,36.49,1005,3.2,15.2,20.93,27.78,44.81,68.08,632,791,864,1099,245
"414","KS","Kansas","25-0000","Education, Training, and Library Occupations","major",1133,4.2,20.01,609,2.1,9.52,11.83,18.81,25.07,32.56,310,396,597,714,868
"415","KS","Kansas","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",311,3.5,18.85,553,1.7,8.4,10.29,16.14,23.59,33.47,176,274,486,679,895
"416","KS","Kansas","29-0000","Healthcare Practitioners and Technical Occupations","major",1063,5.6,32.62,917,1.9,13.72,18.7,25.48,34.94,59.25,566,708,796,936,191
"417","KS","Kansas","31-0000","Healthcare Support Occupations","major",777,3.4,12.48,224,1.2,8.73,9.92,11.29,13.87,17.62,214,243,228,300,441
"418","KS","Kansas","33-0000","Protective Service Occupations","major",568,6,18.59,536,3.1,9.17,12.38,16.72,23.16,30.98,268,428,510,660,829
"419","KS","Kansas","35-0000","Food Preparation and Serving Related Occupations","major",159,1.3,9.45,104,0.7,7.67,8.11,8.84,10.12,12.99,64,70,87,191,342
"420","KS","Kansas","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",778,2.7,11.54,188,1.1,7.9,8.67,10.36,13.32,17.32,102,133,172,284,432
"421","KS","Kansas","39-0000","Personal Care and Service Occupations","major",798,3.7,10.86,160,1.4,7.83,8.49,9.65,11.42,15.5,91,113,145,227,383
"422","KS","Kansas","41-0000","Sales and Related Occupations","major",229,1.3,17.58,497,1.5,8.01,8.83,11.45,20.41,34.3,121,152,236,557,921
"423","KS","Kansas","43-0000","Office and Administrative Support Occupations","major",465,1.1,15.39,358,0.4,8.97,11.11,14.21,18.25,23.47,247,345,391,467,591
"424","KS","Kansas","45-0000","Farming, Fishing, and Forestry Occupations","major",611,12.2,13.9,283,2.8,8.65,10.35,12.78,15.73,21.19,24,278,302,364,532
"425","KS","Kansas","47-0000","Construction and Extraction Occupations","major",919,2.1,19.66,589,1.2,11.18,13.68,17.65,24.11,31.84,443,504,543,690,850
"426","KS","Kansas","49-0000","Installation, Maintenance, and Repair Occupations","major",926,2.6,20.91,645,1,11.15,14.81,19.65,26.34,32.97,440,568,625,753,882
"427","KS","Kansas","51-0000","Production Occupations","major",123,3,17.29,479,2.3,9.7,12.15,15.4,21.23,28.06,326,413,456,595,741
"428","KS","Kansas","53-0000","Transportation and Material Moving Occupations","major",1170,3,16.17,406,1.8,8.52,10.38,14.15,19.89,27.01,188,281,389,538,696
"429","KY","Kentucky","11-0000","Management Occupations","major",1089,1.1,42.52,1089,0.5,19.52,26.76,37.23,51.43,71.14,787,940,1051,85,271
"430","KY","Kentucky","13-0000","Business and Financial Operations Occupations","major",983,2.5,28.03,823,0.7,15.26,19.52,25.18,33.94,43.76,634,741,780,911,1073
"431","KY","Kentucky","15-0000","Computer and Mathematical Occupations","major",574,4.6,30.23,870,1.6,15.65,20.84,28.52,38.38,47.23,651,787,882,1001,1125
"432","KY","Kentucky","17-0000","Architecture and Engineering Occupations","major",484,3.3,32.67,919,1.6,17.34,23.39,31.67,40.79,50.18,719,851,941,1035,76
"433","KY","Kentucky","19-0000","Life, Physical, and Social Science Occupations","major",1141,2.6,24.98,772,2,13.46,17.47,22.72,30.18,39.69,559,672,720,846,1026
"434","KY","Kentucky","21-0000","Community and Social Service Occupations","major",513,1.8,18.78,549,1.2,11.21,13.75,17.44,22.2,29.08,446,511,535,626,778
"435","KY","Kentucky","23-0000","Legal Occupations","major",1143,3.9,33.94,943,2.7,14.52,19.37,26.08,41.06,64.61,601,734,817,1038,219
"436","KY","Kentucky","25-0000","Education, Training, and Library Occupations","major",120,1,23.61,738,1.4,11.15,16.53,22.96,28.22,35.32,441,646,725,804,948
"437","KY","Kentucky","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",267,2.4,18.58,535,1.5,8.65,11.05,15.99,22.87,32.15,25,339,478,654,857
"438","KY","Kentucky","29-0000","Healthcare Practitioners and Technical Occupations","major",164,2.9,31.45,898,1.2,13.49,18.82,25.42,34.26,55.72,561,714,792,920,141
"439","KY","Kentucky","31-0000","Healthcare Support Occupations","major",891,2.4,12.64,230,0.8,8.51,9.93,11.72,14.34,17.75,187,244,256,321,446
"440","KY","Kentucky","33-0000","Protective Service Occupations","major",698,2.8,16.15,404,1.8,8.44,10.4,14.38,20.51,26.14,180,285,398,565,664
"441","KY","Kentucky","35-0000","Food Preparation and Serving Related Occupations","major",331,0.8,9.34,99,0.6,7.66,8.09,8.79,9.83,12.59,62,65,82,183,334
"442","KY","Kentucky","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",885,2,11.07,168,0.9,7.85,8.55,9.96,12.6,16.5,94,123,155,264,409
"443","KY","Kentucky","39-0000","Personal Care and Service Occupations","major",829,2.7,10.67,149,0.9,7.77,8.35,9.33,11.49,15.89,82,95,126,231,396
"444","KY","Kentucky","41-0000","Sales and Related Occupations","major",349,1.1,15.85,384,1,7.95,8.69,10.8,17.4,29.68,110,135,195,419,793
"445","KY","Kentucky","43-0000","Office and Administrative Support Occupations","major",555,1.2,15.06,342,0.5,8.8,10.8,14,18.08,23.03,226,314,373,453,576
"446","KY","Kentucky","45-0000","Farming, Fishing, and Forestry Occupations","major",736,6.9,12.43,222,2,7.99,8.94,11.17,14.54,19.11,117,162,219,330,490
"447","KY","Kentucky","47-0000","Construction and Extraction Occupations","major",994,1.9,19.73,594,0.9,11.22,13.97,18.18,24.32,31.24,447,526,562,697,838
"448","KY","Kentucky","49-0000","Installation, Maintenance, and Repair Occupations","major",1091,2,20.24,619,1,10.46,13.73,18.65,25.42,32.41,396,509,590,722,865
"449","KY","Kentucky","51-0000","Production Occupations","major",376,2.1,16.41,423,2.5,8.85,11.05,14.84,20.05,27.16,231,339,425,4,701
"450","KY","Kentucky","53-0000","Transportation and Material Moving Occupations","major",317,2.4,16.24,412,3.6,8.46,10.13,13.56,18.67,25.95,181,260,343,488,660
"451","LA","Louisiana","11-0000","Management Occupations","major",1072,1.3,44.12,1099,0.6,20.25,27.32,36.91,52.69,77.66,804,949,1047,91,293
"452","LA","Louisiana","13-0000","Business and Financial Operations Occupations","major",976,1.6,27.88,821,0.7,15.04,19.39,25.29,33.56,43.27,625,737,786,901,1063
"453","LA","Louisiana","15-0000","Computer and Mathematical Occupations","major",384,4.6,30.38,875,1.2,16.39,21.16,28.36,36.8,46.67,672,797,876,976,53
"454","LA","Louisiana","17-0000","Architecture and Engineering Occupations","major",663,3.3,37.23,1017,1.6,17.6,23.69,33.85,46.17,60.8,727,855,980,1121,200
"455","LA","Louisiana","19-0000","Life, Physical, and Social Science Occupations","major",84,3.7,30.48,879,1.4,15.6,20.05,27.18,36.81,48.81,648,763,844,977,63
"456","LA","Louisiana","21-0000","Community and Social Service Occupations","major",493,1.6,19.59,586,1.1,9.5,13.31,18.82,25.37,30.51,308,485,598,721,818
"457","LA","Louisiana","23-0000","Legal Occupations","major",222,4,39.35,1048,3.5,14.15,20.22,28.74,46.71,78.86,579,767,889,1128,298
"458","LA","Louisiana","25-0000","Education, Training, and Library Occupations","major",111,1.1,21.57,666,1.4,8.94,14.93,21.56,26.35,31.29,242,577,691,754,842
"459","LA","Louisiana","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",370,6.8,22.7,711,4.1,8.95,12.59,17.88,26.48,36.57,244,446,550,757,977
"460","LA","Louisiana","29-0000","Healthcare Practitioners and Technical Occupations","major",191,1.7,29.45,856,0.9,13.77,17.89,24.36,33.69,47.37,570,687,762,907,1128
"461","LA","Louisiana","31-0000","Healthcare Support Occupations","major",937,2.2,11.16,171,0.7,7.91,8.71,10.35,12.88,16,104,137,171,272,401
"462","LA","Louisiana","33-0000","Protective Service Occupations","major",916,2.4,17.04,461,2.3,8.69,11.01,15.45,21.1,27.23,28,335,459,590,704
"463","LA","Louisiana","35-0000","Food Preparation and Serving Related Occupations","major",347,1,9.67,111,0.7,7.66,8.09,8.81,10.02,13.4,62,66,83,188,350
"464","LA","Louisiana","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",924,1.9,10.48,137,0.8,7.78,8.39,9.42,11.62,14.78,84,99,133,236,368
"465","LA","Louisiana","39-0000","Personal Care and Service Occupations","major",989,2.7,10.16,128,1,7.69,8.16,8.96,10.93,15.1,67,79,100,211,375
"466","LA","Louisiana","41-0000","Sales and Related Occupations","major",442,1,14.9,335,0.8,7.95,8.7,10.79,17.29,27.41,109,136,194,413,713
"467","LA","Louisiana","43-0000","Office and Administrative Support Occupations","major",581,0.9,14.66,318,0.3,8.64,10.41,13.45,17.59,22.7,24,286,334,427,571
"468","LA","Louisiana","45-0000","Farming, Fishing, and Forestry Occupations","major",599,5.8,15.48,363,2.4,8.8,10.98,14.37,18.86,23.55,226,330,397,493,594
"469","LA","Louisiana","47-0000","Construction and Extraction Occupations","major",160,2.3,18.99,557,0.7,10.88,13.66,17.52,22.63,28.67,427,503,538,646,760
"470","LA","Louisiana","49-0000","Installation, Maintenance, and Repair Occupations","major",92,1.8,19.81,599,0.6,10.66,13.69,18.19,24.69,31.52,408,505,563,25,844
"471","LA","Louisiana","51-0000","Production Occupations","major",162,1.8,19.76,595,1.1,9.34,12.54,17.64,24.5,33.75,290,440,542,702,905
"472","LA","Louisiana","53-0000","Transportation and Material Moving Occupations","major",261,1.5,17.26,477,2.1,8.48,10.31,14.35,20.47,29.74,183,275,396,561,796
"473","ME","Maine","11-0000","Management Occupations","major",647,1.6,41.34,1073,0.9,19.87,26.74,36.36,49.85,68.29,794,939,1032,70,247
"474","ME","Maine","13-0000","Business and Financial Operations Occupations","major",456,2.6,28.9,846,1.2,16.61,20.63,26.64,34.55,43.54,684,779,825,926,1068
"475","ME","Maine","15-0000","Computer and Mathematical Occupations","major",1145,2.4,31.69,902,1.8,17.21,22.21,29.91,39.64,50.14,713,824,918,1019,75
"476","ME","Maine","17-0000","Architecture and Engineering Occupations","major",1085,2.8,33.79,941,2.2,20.13,25.58,32.97,41.74,47.34,801,908,962,1050,1127
"477","ME","Maine","19-0000","Life, Physical, and Social Science Occupations","major",732,3.1,28.08,825,1.8,15.81,19.71,24.92,32.65,43,657,748,776,882,1058
"478","ME","Maine","21-0000","Community and Social Service Occupations","major",138,3.2,19.78,598,1.4,12.07,14.87,18.12,22.74,29.29,495,571,556,650,781
"479","ME","Maine","23-0000","Legal Occupations","major",605,7.3,34.33,954,4.9,15.62,20.44,26.96,41.92,58.06,649,772,835,1053,178
"480","ME","Maine","25-0000","Education, Training, and Library Occupations","major",752,2,21.86,678,1.9,11.39,14.92,19.86,26.74,33.19,457,576,634,762,889
"481","ME","Maine","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major",1018,4,17.92,509,2.5,8.36,9.44,14.88,22.26,31.15,10,214,428,631,835
"482","ME","Maine","29-0000","Healthcare Practitioners and Technical Occupations","major",725,1.9,36.41,1003,1.8,14.79,20.91,28.82,39.62,68.93,612,790,892,1018,253
"483","ME","Maine","31-0000","Healthcare Support Occupations","major",431,2.5,13.24,261,0.9,9.53,10.55,12.46,15.09,18.14,312,294,287,348,462
"484","ME","Maine","33-0000","Protective Service Occupations","major",139,2.9,17.21,473,1.8,9.21,11.34,16.09,21.32,26.21,274,359,484,600,666
"485","ME","Maine","35-0000","Food Preparation and Serving Related Occupations","major",905,1.6,10.59,140,1,7.95,8.44,9.26,11.79,15.23,110,105,121,243,381
"486","ME","Maine","37-0000","Building and Grounds Cleaning and Maintenance Occupations","major",420,2.8,12.49,225,0.9,8.42,9.59,11.62,14.52,17.83,178,225,250,329,453
"487","ME","Maine","39-0000","Personal Care and Service Occupations","major",411,3.5,11.46,185,1.7,8.15,8.93,10.34,12.21,16.03,142,160,169,256,404
"488","ME","Maine","41-0000","Sales and Related Occupations","major",935,1.9,15.05,341,1.4,8.21,8.95,11.19,17.4,27.3,4,164,220,419,705
"489","ME","Maine","43-0000","Office and Administrative Support Occupations","major",1160,1.4,15.65,375,0.5,9.55,11.79,14.77,18.45,23.07,314,392,12,477,579
"490","ME","Maine","45-0000","Farming, Fishing, and Forestry Occupations","major",401,8.6,15.49,366,2.7,9.88,12.39,15.14,17.88,21.48,48,429,444,440,540
"491","ME","Maine","47-0000","Construction and Extraction Occupations","major",484,2.2,18.75,548,1.3,11.88,14.55,17.62,22.32,27.11,483,555,541,634,699
"492","ME","Maine","49-0000","Installation, Maintenance, and Repair Occupations","major",501,2.4,20.56,631,1.2,11.9,15.39,19.72,25.24,30.69,484,599,628,719,824
